TIMESTAMP: 21.000000, X: 15.848791, Y: 9.025262, Z: 4.362552, PITCH: -0.185842, YAW: 1.571962
TIMESTAMP: 21.100000, X: 16.013535, Y: 9.085387, Z: 4.446514, PITCH: -0.190580, YAW: 1.577602
TIMESTAMP: 21.200000, X: 16.177634, Y: 9.144962, Z: 4.532531, PITCH: -0.195323, YAW: 1.583245
TIMESTAMP: 21.300000, X: 16.341155, Y: 9.203913, Z: 4.620479, PITCH: -0.200034, YAW: 1.588851
TIMESTAMP: 21.400000, X: 16.504167, Y: 9.262166, Z: 4.710205, PITCH: -0.204736, YAW: 1.594447
TIMESTAMP: 21.500000, X: 16.666735, Y: 9.319644, Z: 4.801532, PITCH: -0.209502, YAW: 1.600119
TIMESTAMP: 21.600000, X: 16.828927, Y: 9.376265, Z: 4.894252, PITCH: -0.214319, YAW: 1.605850
TIMESTAMP: 21.700000, X: 16.990802, Y: 9.431947, Z: 4.988132, PITCH: -0.219023, YAW: 1.611449
TIMESTAMP: 21.800000, X: 17.152418, Y: 9.486603, Z: 5.082915, PITCH: -0.223477, YAW: 1.616750
TIMESTAMP: 21.900000, X: 17.313827, Y: 9.540143, Z: 5.178316, PITCH: -0.227742, YAW: 1.621825
TIMESTAMP: 22.000000, X: 17.475075, Y: 9.592475, Z: 5.274028, PITCH: -0.231996, YAW: 1.626886
TIMESTAMP: 22.100000, X: 17.636200, Y: 9.643503, Z: 5.369720, PITCH: -0.236315, YAW: 1.632025
TIMESTAMP: 22.200000, X: 17.797235, Y: 9.693128, Z: 5.465044, PITCH: -0.240641, YAW: 1.637176
TIMESTAMP: 22.300000, X: 17.958205, Y: 9.741251, Z: 5.559632, PITCH: -0.244939, YAW: 1.642290
TIMESTAMP: 22.400000, X: 18.119127, Y: 9.787771, Z: 5.653101, PITCH: -0.249234, YAW: 1.647398
